gene,local_uniprot,local_protein_name,local_ec_number,local_mass_da,local_organism
GA0070618_5540,A0A1C4ZPF5,"3',5'-cyclic AMP phosphodiesterase CpdA",,33402,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5542,A0A1C4ZPH3,Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1),2.1.2.1,51349,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5543,A0A1C4ZP62,DUF4177 domain-containing protein,,9666,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5544,A0A1C4ZP22,"(S)-3,5-dihydroxyphenylglycine transaminase",,47158,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5545,A0A1C4ZPI4,4-hydroxymandelate oxidase,,38814,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5546,A0A1C4ZP89,Acetyl esterase,,34948,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5547,A0A1C4ZP94,Cytochrome P450,,44182,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5548,A0A1C4ZPK8,Lysophospholipase L1,,46101,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5549,A0A1C4ZPM7,Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II,,56150,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5550,A0A1C4ZPN6,TIGR03089 family protein,,26811,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5551,A0A1C4ZP87,Lysophospholipase L1,,25243,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5552,A0A1C4ZP39,Circularly permuted ATP-grasp type 2,,48839,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5553,A0A1C4ZPR8,Pyruvate dehydrogenase E1 component subunit beta (EC 1.2.4.1),1.2.4.1,34098,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5554,A0A1C4ZPS3,Pyruvate dehydrogenase E1 component alpha subunit,,33704,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5555,A0A1C4ZPA2,DUF3050 family protein,,29237,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5556,A0A1C4ZNX3,"Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family",,35120,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5557,A0A1C4ZPC6,4-hydroxyphenylpyruvate dioxygenase,,38966,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5558,A0A1C4ZPV7,3-oxoacyl-[acyl-carrier-protein] synthase II,,41108,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5559,A0A1C4ZP97,Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II,,57949,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5560,A0A1C4ZPL4,Beta-ketoacyl synthase N-terminal domain-containing protein,,22043,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5561,A0A1C4ZPB5,3-oxoacyl-(Acyl-carrier-protein) synthase,,36145,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5562,A0A1C4ZPN8,Acyl carrier protein,,9093,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5563,A0A1C4ZQ16,Acyl carrier protein,,9747,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5564,A0A1C4ZP83,4'-phosphopantetheinyl transferase,,23607,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5565,A0A1C4ZPQ4,Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II,,47098,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5566,A0A1C4ZPI2,Heme-degrading monooxygenase HmoA,,13547,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5567,A0A1C4ZQ24,Minimal PKS chain-length factor (CLF/KS beta),,43300,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5568,A0A1C4ZPM5,Minimal PKS ketosynthase (KS/KS alpha),,44637,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5569,A0A1C4ZPI0,Putative monooxygenase,,14253,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5570,A0A1C4ZPD0,Aromatase,,28205,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5571,A0A1C4ZPQ2,Cyclase,,12966,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5572,A0A1C4ZQA0,DNA-binding transcriptional activator of the SARP family,,29303,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5573,A0A1C4ZPP0,Polyketide synthesis cyclase,,12439,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5574,A0A1C4ZPF6,2-polyprenyl-6-methoxyphenol hydroxylase,,49147,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5575,A0A1C4ZQ97,"Predicted 5' DNA nuclease, flap endonuclease-1-like, helix-3-turn-helix (H3TH) domain",,42383,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5576,A0A1C4ZQ10,Uncharacterized protein,,7244,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5577,A0A1C4ZPR6,Sensor protein,,21949,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5578,A0A1C4ZQB9,"Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family",,24087,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5579,A0A1C4ZQ31,Monoamine oxidase,,61645,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5580,A0A1C4ZPN0,Uncharacterized protein,,29455,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5581,A0A1C4ZQD0,WD40 repeat domain-containing protein,,37883,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5582,A0A1C4ZPX2,"Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat",,84935,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5583,A0A1C4ZQF8,Uncharacterized protein,,9904,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5584,A0A1C4ZPV0,tRNA 2-thiouridine synthesizing protein A,,9455,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5585,A0A1C4ZQ58,Uncharacterized protein,,12401,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5586,A0A1C4ZPP8,"Serine protease, subtilisin family",,54336,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5587,A0A1C4ZQH8,Helix-turn-helix domain-containing protein,,32916,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5588,A0A1C4ZQJ5,DUF397 domain-containing protein,,6938,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5590,A0A1C4ZQK5,Uncharacterized protein,,5828,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5591,A0A1C4ZQP1,Uncharacterized protein,,29287,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5592,A0A1C4ZQ39,Predicted ATPase,,104280,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5593,A0A1C4ZQ62,AAA ATPase domain-containing protein,,69579,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5594,A0A1C4ZQ27,FAD dependent oxidoreductase,,59122,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5595,A0A1C4ZQ57,GntR family transcriptional regulator,,26049,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5596,A0A1C4ZQ80,N-acylglucosamine-6-phosphate 2-epimerase (EC 5.1.3.9),5.1.3.9,23123,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5597,A0A1C4ZQE4,BadF-type ATPase,,32358,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5598,A0A1C4ZQQ8,Oligopeptide transport system ATP-binding protein,,37179,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5599,A0A1C4ZQ23,Oligopeptide transport system ATP-binding protein,,36675,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5600,A0A1C4ZPZ5,Peptide/nickel transport system substrate-binding protein,,54492,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5601,A0A1C4ZQ66,Peptide/nickel transport system permease protein,,32053,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5602,A0A1C4ZQA1,Peptide/nickel transport system permease protein,,32531,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5603,A0A1C4ZQB7,Predicted dehydrogenase,,35622,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5604,A0A1C4ZQ85,Dienelactone hydrolase,,19503,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5605,A0A1C4ZQY9,NADPH2:quinone reductase,,32863,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5606,A0A1C4ZQJ7,Uncharacterized protein,,16052,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5607,A0A1C4ZQ54,Fluoride-specific ion channel FluC,,15992,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5608,A0A1C4ZQG1,Fluoride-specific ion channel FluC,,12268,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5609,A0A1C4ZQC5,Alpha/beta hydrolase family protein,,20908,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5610,A0A1C4ZR29,GNAT family N-acetyltransferase,,22871,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5611,A0A1C4ZQC1,Gluconate 5-dehydrogenase,,29540,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5612,A0A1C4ZQI2,Amidohydrolase-related domain-containing protein,,31087,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5613,A0A1C4ZR16,Galactonate dehydratase,,43283,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5614,A0A1C4ZQU3,"Glutamate-1-semialdehyde 2,1-aminomutase",,49084,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5615,A0A1C4ZQK4,"Transcriptional regulator, IclR family",,28998,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5616,A0A1C4ZQI0,Peptidase C14,,74925,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5617,A0A1C4ZQG0,Peptidase C14,,77572,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5618,A0A1C4ZQD7,"Oxidoreductase family, C-terminal alpha/beta domain",,45498,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5619,A0A1C4ZQP0,Multiple sugar transport system substrate-binding protein,,43855,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5620,A0A1C4ZRA2,"Carbohydrate ABC transporter membrane protein 1, CUT1 family",,33299,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5621,A0A1C4ZQN9,"Carbohydrate ABC transporter membrane protein 2, CUT1 family",,32736,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5622,A0A1C4ZQZ2,Nucleoside-diphosphate-sugar epimerase,,35602,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5623,A0A1C4ZQQ0,Dihydrodipicolinate synthase/N-acetylneuraminate lyase,,35194,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5624,A0A1C4ZQS0,Phosphoglycerate dehydrogenase,,36245,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5625,A0A1C4ZQP4,"2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (Catechol pathway)",,30017,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5626,A0A1C4ZQY8,Predicted N-acetyltransferase YhbS,,32998,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5627,A0A1C4ZQU1,Sugar lactone lactonase YvrE,,30043,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5628,A0A1C4ZQN3,S-formylglutathione hydrolase FrmB,,29578,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5629,A0A1C4ZRF6,"Flavin-dependent oxidoreductase, luciferase family (Includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)",,31850,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5630,A0A1C4ZQU8,Methylamine utilisation protein MauE domain-containing protein,,30158,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5631,A0A1C4ZQX2,Cell wall protein,,20662,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5632,A0A1C4ZRH4,Rare lipoprotein A (RlpA)-like double-psi beta-barrel,,14299,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5633,A0A1C4ZRF3,"Transcriptional regulator, LacI family",,36859,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5634,A0A1C4ZQU9,"Carbohydrate ABC transporter membrane protein 2, CUT1 family",,29877,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5635,A0A1C4ZQS8,Raffinose/stachyose/melibiose transport system permease protein,,36198,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5636,A0A1C4ZRH2,Raffinose/stachyose/melibiose transport system substrate-binding protein,,44883,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5638,A0A1C4ZRI3,"Peptidoglycan/xylan/chitin deacetylase, PgdA/CDA1 family",,23655,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5639,A0A1C4ZQU7,"Two component transcriptional regulator, LuxR family",,23585,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5640,A0A1C4ZQS5,Signal transduction histidine kinase,,40014,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5641,A0A1C4ZRJ7,"Membrane protein DedA, SNARE-associated domain",,30380,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5642,A0A1C4ZRN5,DUF2804 domain-containing protein,,36188,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5643,A0A1C4ZR34,Phage r1t holin,,9843,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5644,A0A1C4ZR45,Carbohydrate binding module (Family 35),,46230,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5645,A0A1C4ZRD2,Condensation domain-containing protein,,58743,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5646,A0A1C4ZRB8,Amino acid adenylation domain-containing protein/natural product biosynthesis luciferase-like monooxygenase domain-containing protein,,478436,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5647,A0A1C4ZRE1,"Predicted arabinose efflux permease, MFS family",,45386,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5648,A0A1C4ZR63,SH3 domain-containing protein,,12143,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5649,A0A1C4ZRF2,Helix-turn-helix domain-containing protein,,27952,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5650,A0A1C4ZQY5,Glycosyl transferase family 2,,35301,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5651,A0A1C4ZRG7,"Alpha-1,2-mannosyltransferase",,43031,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5653,A0A1C4ZR83,Glycosyl transferase family 2,,38432,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5654,A0A1C4ZRH6,Lysylphosphatidylglycerol synthase-like protein,,35551,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5655,A0A1C4ZR10,Putrescine aminotransferase,,52581,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5656,A0A1C4ZRI2,Nucleoside-diphosphate-sugar epimerase,,37664,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5657,A0A1C4ZR20,4-hydroxybenzoate polyprenyltransferase,,34515,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5658,A0A1C4ZR84,"Metal-dependent hydrolase, endonuclease/exonuclease/phosphatase family",,42857,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5659,A0A1C4ZRB2,Glycosyltransferase involved in cell wall bisynthesis,,42028,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5660,A0A1C4ZRC5,Uncharacterized protein,,10686,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5661,A0A1C4ZRX9,DUF4350 domain-containing protein,,48984,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5662,A0A1C4ZRD4,DUF5129 domain-containing protein,,38885,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5663,A0A1C4ZRV9,carbonic anhydrase (EC 4.2.1.1),4.2.1.1,24695,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5664,A0A1C4ZS06,NAD(P)H dehydrogenase (Quinone),,28277,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5665,A0A1C4ZRN8,Ricin-type beta-trefoil lectin domain-like,,56252,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5666,A0A1C4ZRN2,cellulase (EC 3.2.1.4),3.2.1.4,74180,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5667,A0A1C4ZR89,Uncharacterized protein,,30615,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5668,A0A1C4ZR99,Lipoprotein,,30665,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5669,A0A1C4ZRG9,Permease of the drug/metabolite transporter (DMT) superfamily,,35173,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5670,A0A1C4ZRE2,AraC-type DNA-binding protein,,33365,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5671,A0A1C4ZRK9,Multidrug efflux pump Tap,,47752,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5672,A0A1C4ZRM3,Thioesterase domain-containing protein,,28957,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5673,A0A1C4ZRK5,Amino acid adenylation domain-containing protein,,116830,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5674,A0A1C4ZRV1,Succinyldiaminopimelate aminotransferase apoenzyme,,42014,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5675,A0A1C4ZS38,DUF2000 family protein,,16307,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5676,A0A1C4ZRP8,"Radical SAM P-methyltransferase, PhpK family",,60182,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5677,A0A1C4ZRQ7,Surfactin synthase thioesterase subunit,,27876,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5678,A0A1C4ZSB7,Amino acid adenylation domain-containing protein,,114190,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5679,A0A1C4ZRQ2,Acyl-CoA thioesterase,,28898,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5680,A0A1C4ZRY7,Putative NAD(P)H nitroreductase (EC 1.-.-.-),1.-.-.-,21380,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5681,A0A1C4ZSF0,"Microcystin degradation protein MlrC, contains DUF1485 domain",,51820,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5682,A0A1C4ZS34,Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase (EC 4.1.1.112) (EC 4.1.3.17) (Oxaloacetate decarboxylase) (Regulator of ribonuclease activity homolog) (RraA-like protein),4.1.1.112; 4.1.3.17,23636,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5683,A0A1C4ZSA3,o-succinylbenzoate synthase (EC 4.2.1.113),4.2.1.113,41007,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5684,A0A1C4ZRY2,Circularly permuted ATP-grasp superfamily protein,,52514,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5685,A0A1C4ZSI1,Branched-chain amino acid aminotransferase,,33312,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5686,A0A1C4ZRR5,Pyrroloquinoline-quinone synthase,,29242,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5687,A0A1C4ZS60,4-hydroxy 2-oxovalerate aldolase,,32870,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5688,A0A1C4ZS04,"Transcriptional regulator, AraC family",,31254,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5689,A0A1C4ZS18,"Glycogen debranching enzyme (Alpha-1,6-glucosidase)",,91474,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5690,A0A1C4ZSN1,Pimeloyl-ACP methyl ester carboxylesterase,,28060,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5691,A0A1C4ZS85,AraC-type DNA-binding protein,,33746,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5692,A0A1C4ZS28,Cupin domain-containing protein,,11617,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5693,A0A1C4ZRU3,3-hydroxyisobutyrate dehydrogenase,,30047,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5694,A0A1C4ZSH6,VOC domain-containing protein,,24468,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5695,A0A1C4ZS63,Diguanylate cyclase (GGDEF) domain-containing protein,,74174,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5696,A0A1C4ZRZ2,Streptogrisin D,,35104,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5697,A0A1C4ZSK0,Nucleoside-diphosphate-sugar epimerase,,31553,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5698,A0A1C4ZSQ7,Cytochrome P450,,39548,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5699,A0A1C4ZSD4,Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II,,51816,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5700,A0A1C4ZSG3,Glycosyl transferase family 2,,26678,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5701,A0A1C4ZSM4,3-oxoacyl-[acyl-carrier-protein] synthase-3,,36583,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5702,A0A1C4ZSV5,LasA protease,,39954,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5703,A0A1C4ZSI3,Thioredoxin domain-containing protein,,19528,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5704,A0A1C4ZSD7,Methylamine utilisation protein MauE domain-containing protein,,17751,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5705,A0A1C4ZSS0,Transglutaminase-like superfamily protein,,15922,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5706,A0A1C4ZSE1,Coenzyme PQQ synthesis protein D (PqqD),,9065,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5707,A0A1C4ZSA8,Asparagine synthase (Glutamine-hydrolysing),,64799,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5708,A0A1C4ZT02,Lasso RiPP family leader peptide-containing protein,,4854,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5709,A0A1C4ZT09,Arylsulfatase A,,61628,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5710,A0A1C4ZSN5,"Formylglycine-generating enzyme, required for sulfatase activity, contains SUMF1/FGE domain",,36320,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5711,A0A1C4ZSK3,Arylsulfatase A,,72049,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5712,A0A1C4ZSJ0,Methyltransferase domain-containing protein,,30163,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5713,A0A1C4ZSQ3,Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase),2.6.1.9,37593,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5714,A0A1C4ZSZ4,"Predicted arabinose efflux permease, MFS family",,45851,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5715,A0A1C4ZSP9,"DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains",,24877,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5716,A0A1C4ZSF7,Histidine ammonia-lyase,,57923,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5717,A0A1C4ZSV1,4-hydroxyphenylacetate 3-monooxygenase,,56569,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5718,A0A1C4ZSW1,"Catechol 1,2-dioxygenase",,27483,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5719,A0A1C4ZSI0,"NADH-FMN oxidoreductase RutF, flavin reductase (DIM6/NTAB) family",,19474,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5720,A0A1C4ZT35,Pyrrole-2-carboxylic acid decarboxylase (P2C decarboxylase) (EC 4.1.1.93),4.1.1.93,53202,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5721,A0A1C4ZSS7,"DNA-binding transcriptional regulator, LysR family",,34078,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5722,A0A1C4ZSP0,3-oxoacyl-[acyl-carrier-protein] synthase-3,,37436,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5723,A0A1C4ZSU9,MbtH protein,,6452,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5724,A0A1C4ZTC5,3-hydroxybutyryl-CoA dehydrogenase,,31754,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5725,A0A1C4ZT17,Amino acid adenylation domain-containing protein,,220504,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5726,A0A1C4ZSX8,Amino acid adenylation domain-containing protein,,115521,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5727,A0A1C4ZSX1,Amino acid adenylation domain-containing protein,,133156,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5728,A0A1C4ZTG1,"HAD-superfamily phosphatase, subfamily IIIC/FkbH-like domain-containing protein",,39940,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5729,A0A1C4ZTH1,3-oxoacyl-[acyl-carrier-protein] synthase-3,,35612,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5730,A0A1C4ZT56,Acyl-CoA dehydrogenase,,40509,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5731,A0A1C4ZT14,Phosphopantetheine attachment site,,11250,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5732,A0A1C4ZT44,Methyltransferase domain-containing protein,,35270,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5733,A0A1C4ZTK0,2-keto-4-pentenoate hydratase,,24266,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5734,A0A1C4ZSY7,4-oxalocrotonate tautomerase,,6559,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5735,A0A1C4ZT93,Surfactin synthase thioesterase subunit,,29003,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5736,A0A1C4ZSX7,Aminomuconate-semialdehyde/2-hydroxymuconate-6-semialdehyde dehydrogenase,,50364,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5737,A0A1C4ZT77,"Glycogen debranching enzyme (Alpha-1,6-glucosidase)",,65954,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5738,A0A1C4ZT24,Trehalase,,46913,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5739,A0A1C4ZT60,Sugar phosphate isomerase/epimerase,,31031,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5740,A0A1C4ZTA0,2-desacetyl-2-hydroxyethyl bacteriochlorophyllide A dehydrogenase,,36456,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5741,A0A1C4ZT86,"Carbohydrate ABC transporter substrate-binding protein, CUT1 family",,48871,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5742,A0A1C4ZTE3,"Carbohydrate ABC transporter membrane protein 1, CUT1 family",,36174,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5743,A0A1C4ZTB6,"Carbohydrate ABC transporter membrane protein 2, CUT1 family",,31369,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5744,A0A1C4ZTK6,"Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain",,41380,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5745,A0A1C4ZTB1,Predicted dehydrogenase,,30555,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_5746,A0A1C4ZTB7,Uncharacterized protein,,32393,Micromonospora echinospora (Micromonospora purpurea)
